Label,Icon,Position,Updated,Visible
WS - Summit Cr near Fraser,/icon@2x.png?cfg=point%2CFF0000%231,"59.65361, -135.14361","Wed, 19 Mar 2025 13:41:14 GMT",visible
WS - Skagway 6 NE,/icon@2x.png?cfg=point%2CFF0000%231,"59.52722, -135.23194","Wed, 19 Mar 2025 13:41:14 GMT",visible
WS - Skagway,/icon@2x.png?cfg=point%2CFF0000%231,"59.45440, -135.32630","Wed, 19 Mar 2025 13:41:14 GMT",visible
WS - Moore Cr Br,/icon@2x.png?cfg=point%2CFF0000%231,"59.58783, -135.21050","Wed, 19 Mar 2025 13:41:14 GMT",visible
WS - Klondike Hwy,/icon@2x.png?cfg=point%2CFF0000%231,"59.62964, -135.16420","Wed, 19 Mar 2025 13:41:14 GMT",visible
WS - Haines Airport,/icon@2x.png?cfg=point%2CFF0000%231,"59.24287, -135.51139","Wed, 19 Mar 2025 13:41:14 GMT",visible
WS - Fraser 1S,/icon@2x.png?cfg=point%2CFF0000%231,"59.71533, -135.05085","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake F16,/icon@2x.png?cfg=point%2CFF0000%231,"58.63800, -134.55505","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake F15,/icon@2x.png?cfg=point%2CFF0000%231,"58.67480, -134.52312","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake D14,/icon@2x.png?cfg=point%2CFF0000%231,"58.68230, -134.38957","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake C13,/icon@2x.png?cfg=point%2CFF0000%231,"58.50247, -134.33859","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake C12,/icon@2x.png?cfg=point%2CFF0000%231,"58.53915, -134.31284","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake C11,/icon@2x.png?cfg=point%2CFF0000%231,"58.58044, -134.25087","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A9,/icon@2x.png?cfg=point%2CFF0000%231,"59.02380, -134.07921","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A8,/icon@2x.png?cfg=point%2CFF0000%231,"58.97749, -134.08401","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A7,/icon@2x.png?cfg=point%2CFF0000%231,"58.90748, -134.09843","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A6,/icon@2x.png?cfg=point%2CFF0000%231,"58.85783, -134.15337","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A5,/icon@2x.png?cfg=point%2CFF0000%231,"58.81537, -134.18530","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A4,/icon@2x.png?cfg=point%2CFF0000%231,"58.77338, -134.19147","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A31,/icon@2x.png?cfg=point%2CFF0000%231,"58.65675, -134.19491","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A30,/icon@2x.png?cfg=point%2CFF0000%231,"58.64800, -134.20452","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A3,/icon@2x.png?cfg=point%2CFF0000%231,"58.72190, -134.22169","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A29,/icon@2x.png?cfg=point%2CFF0000%231,"58.80752, -134.13826","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A28,/icon@2x.png?cfg=point%2CFF0000%231,"58.81214, -134.15508","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A27,/icon@2x.png?cfg=point%2CFF0000%231,"58.81429, -134.17088","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A26,/icon@2x.png?cfg=point%2CFF0000%231,"58.81587, -134.19697","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A25,/icon@2x.png?cfg=point%2CFF0000%231,"58.81605, -134.21036","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A24,/icon@2x.png?cfg=point%2CFF0000%231,"58.81623, -134.22649","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A23,/icon@2x.png?cfg=point%2CFF0000%231,"58.83685, -134.26460","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A22,/icon@2x.png?cfg=point%2CFF0000%231,"58.53878, -134.12916","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A21,/icon@2x.png?cfg=point%2CFF0000%231,"58.57937, -134.15714","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A20,/icon@2x.png?cfg=point%2CFF0000%231,"58.61635, -134.27628","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A2,/icon@2x.png?cfg=point%2CFF0000%231,"58.66212, -134.29619","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A19,/icon@2x.png?cfg=point%2CFF0000%231,"58.62478, -134.25739","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A18,/icon@2x.png?cfg=point%2CFF0000%231,"58.63856, -134.22581","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A17,/icon@2x.png?cfg=point%2CFF0000%231,"58.64410, -134.21345","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A10,/icon@2x.png?cfg=point%2CFF0000%231,"58.60923, -134.19903","Wed, 19 Mar 2025 13:41:14 GMT",visible
Stake A1,/icon@2x.png?cfg=point%2CFF0000%231,"58.63336, -134.23920","Wed, 19 Mar 2025 13:41:14 GMT",visible
