date,camp_id,temperature_min,temperature_max,temperature_mean,hourly_observations,temperature_std,elevation_first,latitude_first,longitude_first,nwis_id_first
1998-07-20,C-30,62.17,75.22,70.542,5,5.284474429874746,674,59.57544893154394,-133.70967902899886,
1998-07-21,C-26,51.79,67.65,60.42875,8,6.140275558032511,1435,58.36737,-134.36638,
1998-07-21,C-30,51.08,67.65,60.42625,8,6.330305651614082,674,59.57544893154394,-133.70967902899886,
1998-07-22,C-18,38.72,42.46,40.59,2,2.6445793616376916,1705,59.34211,-134.10221,
1998-07-22,C-26,51.79,66.28,57.08,8,4.436185620230838,1435,58.36737,-134.36638,
1998-07-22,C-30,51.79,77.31,65.075,8,9.58322343622288,674,59.57544893154394,-133.70967902899886,
1998-07-23,C-18,36.43,40.23,38.15,8,1.3894192003444141,1705,59.34211,-134.10221,
1998-07-23,C-26,48.25,60.11,54.995,8,3.943660373670272,1435,58.36737,-134.36638,
1998-07-23,C-30,51.08,69.71,61.195,8,7.333940667491502,674,59.57544893154394,-133.70967902899886,
1998-07-23,C-8,40.23,54.58,46.496249999999996,8,4.8320357658917565,2050,58.83497,-134.27643,
1998-07-24,C-18,35.66,39.48,37.57625,8,1.354199157119384,1705,59.34211,-134.10221,
1998-07-24,C-26,46.82,58.04,52.98875,8,3.9619491505354483,1435,58.36737,-134.36638,
1998-07-24,C-30,48.25,69.02,59.37625,8,7.800769078384882,674,59.57544893154394,-133.70967902899886,
1998-07-24,C-8,40.97,48.96,44.17375,8,2.8760038620081385,2050,58.83497,-134.27643,
1998-07-25,C-18,36.43,39.48,37.38875,8,1.0608546083229284,1705,59.34211,-134.10221,
1998-07-25,C-26,46.82,59.42,53.42375,8,4.2265147326981225,1435,58.36737,-134.36638,
1998-07-25,C-30,50.38,71.77,61.71,8,8.372441186928183,674,59.57544893154394,-133.70967902899886,
1998-07-25,C-8,40.23,55.97,46.7225,8,6.6419957198764585,2050,58.83497,-134.27643,
1998-07-26,C-18,37.2,45.38,40.0075,8,3.252813068275344,1705,59.34211,-134.10221,
1998-07-26,C-26,47.53,58.04,53.61,8,3.199580329623604,1435,58.36737,-134.36638,
1998-07-26,C-30,51.08,73.15,61.015,8,8.78766830767493,674,59.57544893154394,-133.70967902899886,
1998-07-26,C-8,33.31,53.19,45.01875,8,5.674807580123626,2050,58.83497,-134.27643,
1998-07-27,C-18,37.2,54.58,46.24375,8,7.250148643796405,1705,59.34211,-134.10221,
1998-07-27,C-26,38.72,75.92,56.0175,8,14.788175537039239,1435,58.36737,-134.36638,
1998-07-27,C-30,47.53,86.55,65.8575,8,15.084687363586383,674,59.57544893154394,-133.70967902899886,
1998-07-27,C-8,37.97,58.04,47.47625,8,8.208509413146473,2050,58.83497,-134.27643,
1998-07-28,C-18,42.46,51.79,46.52125,8,3.477069527633867,1705,59.34211,-134.10221,
1998-07-28,C-26,44.65,62.17,51.79875,8,6.944281177445838,1435,58.36737,-134.36638,
1998-07-28,C-30,53.19,75.92,64.98625,8,9.019759162923528,674,59.57544893154394,-133.70967902899886,
1998-07-28,C-8,38.72,49.67,43.06375,8,3.60300643312538,2050,58.83497,-134.27643,
1998-07-29,C-18,37.2,50.38,43.325,8,4.222074642366509,1705,59.34211,-134.10221,
1998-07-29,C-26,40.23,53.19,46.68125,8,4.557848607465087,1435,58.36737,-134.36638,
1998-07-29,C-30,60.11,72.46,66.795,8,4.485720200178083,674,59.57544893154394,-133.70967902899886,
1998-07-29,C-8,34.88,53.19,43.59125,8,7.526009068556854,2050,58.83497,-134.27643,
1998-07-30,C-18,35.66,49.67,43.7475,8,5.56428085457334,1705,59.34211,-134.10221,
1998-07-30,C-26,37.97,57.35,47.87,8,7.166124674965045,1435,58.36737,-134.36638,
1998-07-30,C-30,57.35,70.39,64.39125,8,4.748480772084596,674,59.57544893154394,-133.70967902899886,
1998-07-30,C-8,34.1,43.19,38.67875,8,3.6279291121598742,2050,58.83497,-134.27643,
1998-07-31,C-18,40.23,55.97,45.769999999999996,8,5.081206268481644,1705,59.34211,-134.10221,
1998-07-31,C-26,43.19,56.66,47.675,8,4.44493290966563,1435,58.36737,-134.36638,
1998-07-31,C-30,60.11,66.96,64.05125,8,3.012642112830529,674,59.57544893154394,-133.70967902899886,
1998-07-31,C-8,31.72,46.1,38.73375,8,5.104194178740238,2050,58.83497,-134.27643,
1998-08-01,C-18,34.1,37.97,36.04,8,1.4914039406833122,1705,59.34211,-134.10221,
1998-08-01,C-26,40.23,44.65,42.4475,8,1.6244185773025737,1435,58.36737,-134.36638,
1998-08-01,C-30,60.8,69.02,64.6525,8,2.4817721203089635,674,59.57544893154394,-133.70967902899886,
1998-08-01,C-8,30.1,35.66,32.1,8,2.1290574708743084,2050,58.83497,-134.27643,
1998-08-02,C-10,46.82,62.17,55.345,6,6.216750759038036,1196,59.57564,-133.70982,
1998-08-02,C-17,46.82,64.91,55.342,5,8.112765866213568,1285,58.64721,-134.20635,
1998-08-02,C-18,34.1,53.89,44.21125,8,7.975796310445388,1705,59.34211,-134.10221,
1998-08-02,C-26,34.88,58.73,46.91875,8,8.608083306653448,1435,58.36737,-134.36638,
1998-08-02,C-30,58.04,72.46,66.70625,8,4.906750270218128,674,59.57544893154394,-133.70967902899886,
1998-08-02,C-8,28.45,51.08,41.1325,8,9.9838852299951,2050,58.83497,-134.27643,
1998-08-03,C-10,47.53,60.8,54.36875,8,5.386799838494094,1196,59.57564,-133.70982,
1998-08-03,C-17,47.53,60.11,53.24625,8,4.475300269255685,1285,58.64721,-134.20635,
1998-08-03,C-18,43.19,56.66,49.07875,8,5.587990790206134,1705,59.34211,-134.10221,
1998-08-03,C-26,35.66,57.35,46.25875,8,6.9000547358077435,1435,58.36737,-134.36638,
1998-08-03,C-30,60.8,70.39,65.85,8,3.060947565705755,674,59.57544893154394,-133.70967902899886,
1998-08-03,C-8,37.97,51.79,43.655,8,5.654396519523548,2050,58.83497,-134.27643,
1998-08-04,C-10,48.25,55.28,51.42,8,3.072481547079306,1196,59.57564,-133.70982,
1998-08-04,C-17,45.38,55.97,49.83,8,3.173371348311715,1285,58.64721,-134.20635,
1998-08-04,C-18,42.46,51.79,46.5175,8,3.7343568962501994,1705,59.34211,-134.10221,
1998-08-04,C-26,38.72,53.89,47.292500000000004,8,5.219950054495598,1435,58.36737,-134.36638,
1998-08-04,C-30,39.48,69.02,55.887499999999996,8,11.31656150452576,674,59.57544893154394,-133.70967902899886,
1998-08-04,C-8,34.88,46.1,41.755,8,4.277676271729112,2050,58.83497,-134.27643,
1998-08-05,C-10,43.19,55.97,47.76625,8,4.287080050237323,1196,59.57564,-133.70982,
1998-08-05,C-17,38.72,49.67,44.5325,8,3.180218995154715,1285,58.64721,-134.20635,
1998-08-05,C-18,37.97,49.67,43.32,8,4.539685325784474,1705,59.34211,-134.10221,
1998-08-05,C-26,40.23,53.89,46.21625,8,5.244207518777267,1435,58.36737,-134.36638,
1998-08-05,C-30,40.97,63.54,55.00625,8,8.14302144257804,674,59.57544893154394,-133.70967902899886,
1998-08-05,C-8,31.72,56.66,42.19125,8,9.818458472984153,2050,58.83497,-134.27643,
1998-08-06,C-10,39.48,42.46,40.692499999999995,8,0.8837380025453584,1196,59.57564,-133.70982,
1998-08-06,C-17,37.97,39.48,38.53375,8,0.5328612121637031,1285,58.64721,-134.20635,
1998-08-06,C-18,34.88,37.2,36.13875,8,1.0064710271892736,1705,59.34211,-134.10221,
1998-08-06,C-26,37.97,44.65,41.1475,8,2.089051391011173,1435,58.36737,-134.36638,
1998-08-06,C-30,51.08,58.73,54.394999999999996,8,3.0596638470823643,674,59.57544893154394,-133.70967902899886,
