sensor_key,site_name,sensor_height,optimal_order_aic,optimal_order_bic,ar1_coefficient,lag1_autocorr,e_folding_time,half_life_time,high_freq_variance,ljung_box_pvalue,r_squared,aic,bic,n_obs
B02_2m_22133680,B02,2m,29,15,0.3280986792037868,0.9977183865710666,68,58,0.0016114069699082036,0.938876146999381,0.9983499635329082,-41200.67725446806,-40976.99900472629,10080
B02_1m_22133663,B02,1m,19,13,0.4028079445614431,0.9984413595555315,65,56,0.001720219311549142,0.9607665960476715,0.9986641751957875,-40548.94641364108,-40397.40155495295,10080
E03_1m_22133626,E03,1m,16,16,0.35277080755210743,0.997048833306414,69,59,0.001576720623731462,0.9205933498809648,0.9979428699080499,-40970.57016870377,-40840.66920908285,10080
E03_2m_22133674,E03,2m,28,16,0.3139313787117195,0.997632179900857,71,61,0.0015484553067047322,0.9179031275471701,0.9981469970387273,-41484.954877141565,-41268.48907018166,10080
C02_1m_22133625,C02,1m,19,12,0.4688445467323486,0.9972254423876923,60,50,0.0017340695449068768,0.9389010184549423,0.9981464687243988,-39736.19846876134,-39584.653610073205,10080
C02_2m_22133637,C02,2m,20,11,0.491401925494319,0.9980797134881928,55,47,0.0019129940658572004,0.9457714020985347,0.9986419733130928,-39583.403653598885,-39424.6445598385,10080
TKG4_2m_22133650,TKG4,2m,18,11,0.5555099905714065,0.9984860063393226,54,46,0.0020486415748070556,0.9583396053182341,0.9989189754630178,-39221.812306608765,-39077.48188198774,10080
TKG4_1m_22133682,TKG4,1m,15,8,0.7192575361012564,0.9987896212572631,50,42,0.0026822870639102883,0.9883587357312023,0.9991100911688233,-37582.60430266457,-37459.91837391732,10080
E04_1m_22133657,E04,1m,15,13,0.403729621302751,0.9979700654386721,69,59,0.001591834653523387,0.9618434431431283,0.998280258497198,-40751.949473001885,-40629.26354425463,10080
E04_2m_22133643,E04,2m,14,13,0.39466866591846816,0.9983284273119372,66,56,0.0017211038935123612,0.26140830027491185,0.9985957810099116,-40484.783575051406,-40369.31287605403,10080
B03_2m_22133635,B03,2m,10,9,0.5907365035422563,0.9985667650091593,56,47,0.002143628116946922,0.7717658998584475,0.9988798689780126,-38554.0488206234,-38467.44102879485,10080
B03_1m_22133624,B03,1m,10,9,0.5907099336818453,0.9984715050083882,56,47,0.0020123310135640895,0.9883644003563489,0.9987999584043786,-38924.041900574775,-38837.43410874622,10080
G01_2m_22133648,G01,2m,17,17,1.0822507422327947,0.9982495426976051,58,48,0.0035529910651529474,0.9772217074372281,0.9981703990485923,-32183.906107748237,-32046.790316159502,10080
G01_1m_22133675,G01,1m,22,7,0.8688291533665329,0.9983890539925048,56,47,0.0025295989698729928,0.9375190194312131,0.9983134784378553,-35324.10886769536,-35150.921900893794,10080
E01_1m_22133647,E01,1m,15,15,0.4193088715915182,0.9980832609916334,72,61,0.00156485350109565,0.9776433454192072,0.9981308527062491,-40614.635604237425,-40491.94967549017,10080
E01_2m_22133653,E01,2m,17,16,0.34488238611887834,0.9975941817402275,72,61,0.0014733360689047133,0.9593478712385755,0.9980153007656378,-41671.5363757019,-41534.42058411317,10080
G04_2m_22133651,G04,2m,41,8,0.6773561070924969,0.9980772479893179,60,50,0.0019695002909037155,0.9178584579897063,0.9984184603385391,-37856.624078989465,-37546.41206916173,10080
B01_1m_22133671,B01,1m,17,10,0.5431580547033367,0.9986363722581384,59,50,0.002070121307141268,0.9402883558269621,0.9989605319634162,-38987.07032105356,-38849.95452946483,10080
B01_2m_22133687,B01,2m,27,13,0.39664684788525084,0.9980461959532108,61,52,0.0016429631812064191,0.9551761095105459,0.9986531102618491,-41185.18971620798,-40975.93655129222,10080
D01_1m_22133652,D01,1m,11,11,0.5225345377599959,0.9983878928462208,61,52,0.0018513212927455391,0.06255270602359418,0.9986753471417358,-39477.25984227819,-39383.43602549128,10080
D01_2m_22133646,D01,2m,19,11,0.4967051164771528,0.9981289555125296,59,50,0.0018576832280043822,0.9571231171041072,0.9986088487661725,-39535.07750201864,-39383.53264333051,10080
G02_1m_22133666,G02,1m,13,13,0.4688372742916123,0.997019131991872,63,53,0.0016505028045324572,0.9394363837336769,0.9977716060476627,-39815.74431448289,-39707.48904408194,10080
G02_2m_22133628,G02,2m,11,11,0.7660961518756726,0.9948966429265359,69,58,0.0020729911513271107,0.9049042462456178,0.996712741333486,-35224.70295835366,-35130.87914156675,10080
A03_2m_22133661,A03,2m,43,9,0.9869541463200132,0.9974109048911953,52,43,0.0029390358741135333,0.9645571103994082,0.9972870261626376,-33714.48538180842,-33389.853872336804,10080
A03_1m_22133634,A03,1m,57,25,0.8917956693014546,0.9979643767402536,50,42,0.0029943466306352347,0.9804998819091898,0.9981658168454616,-34577.24798683622,-34151.702360705756,10080
A02__22038780,A02,,60,15,1.2665526208864415,0.9951245829738747,52,45,0.247104099192082,0.9975447710516936,0.9920050725922864,6342.5057528073885,6745.1671398601775,4948
A01_1m_22133645,A01,1m,36,9,0.8622799206444778,0.998372699691684,57,48,0.0026717094595641293,0.9603618282908994,0.9981145838393363,-33855.87878960473,-33581.71902223418,10080
D02_2m_22133659,D02,2m,17,15,0.36413911874781313,0.9974746788353023,71,60,0.0015553696471145545,0.9790124708526559,0.9980729688784614,-41053.43197265998,-40916.31618107125,10080
D02_1m_22133686,D02,1m,12,12,0.48190771511868125,0.9984032553636203,66,56,0.0017546302783907344,0.9371141412088433,0.9985122854151735,-39647.2081450509,-39546.16850206332,10080
D04_1m_22133636,D04,1m,17,14,0.38540995184998755,0.9975096886514013,72,61,0.001593974526420623,0.9992518510716256,0.9979283095694653,-40532.98144398156,-40395.86565239283,10080
D04_2m_22133630,D04,2m,27,15,0.35759213621245134,0.9979595466381316,68,58,0.0016449276411795416,0.9831635138870811,0.9983573063360581,-40837.275608945056,-40628.022444029295,10080
G03_1m_22133655,G03,1m,13,9,0.6807824739669917,0.9984986301891225,54,46,0.0022782923678261193,0.9787296319177853,0.9989075827959918,-38034.01056626871,-37925.75529586777,10080
G03_2m_22133670,G03,2m,16,10,0.5620780320007596,0.9982694780510692,54,46,0.0020259609733918327,0.9877097594835581,0.9987024530462816,-38872.46311169314,-38742.56215207222,10080
