site_name,kmeans_cluster,hierarchical_cluster,dbscan_cluster
B02_2m,2,2,-1
E03_1m,1,0,-1
C02_1m,2,2,-1
TKG4_2m,2,2,0
E04_1m,1,0,-1
B03_2m,2,2,-1
G01_2m,0,1,-1
TKG4_1m,2,2,0
E01_1m,1,0,-1
G04_2m,2,2,-1
B01_1m,2,2,-1
D01_1m,0,1,-1
G02_1m,2,2,-1
A03_2m,2,2,-1
G02_2m,2,2,-1
D01_2m,0,1,-1
D02_2m,0,1,-1
E03_2m,1,0,-1
D04_1m,0,0,-1
G01_1m,0,1,-1
G03_1m,1,0,-1
A03_1m,2,2,-1
G03_2m,1,0,-1
D04_2m,1,0,-1
E04_2m,1,0,-1
C02_2m,2,2,-1
E01_2m,1,0,-1
B02_1m,2,2,-1
A01_1m,2,2,-1
B01_2m,2,2,-1
D02_1m,2,2,-1
B03_1m,2,2,-1
