PC,Explained_Variance_Ratio,Cumulative_Variance
PC1,0.6732906754597695,0.6732906754597695
PC2,0.10358446156475659,0.7768751370245262
PC3,0.05858621956241197,0.8354613565869381
PC4,0.03867600942063925,0.8741373660075773
PC5,0.019001761657889072,0.8931391276654663
PC6,0.01601438323623625,0.9091535109017026
PC7,0.013621106563221777,0.9227746174649244
PC8,0.012269026536674766,0.9350436440015991
PC9,0.01014194020098697,0.9451855842025861
PC10,0.00919169990595826,0.9543772841085444
PC11,0.009150621318572751,0.9635279054271172
PC12,0.007058179902041706,0.9705860853291589
PC13,0.00635050980590177,0.9769365951350607
PC14,0.004513069662694471,0.9814496647977552
PC15,0.0038661474973399443,0.9853158122950951
PC16,0.0038070408831511054,0.9891228531782462
PC17,0.0033354810335226516,0.9924583342117689
PC18,0.002693852550174742,0.9951521867619436
PC19,0.0024918458260418715,0.9976440325879855
PC20,0.0004893573445419235,0.9981333899325274
PC21,0.0003292044006062298,0.9984625943331337
PC22,0.0002340367440526451,0.9986966310771863
PC23,0.00020068329682617486,0.9988973143740125
PC24,0.00018304230328479733,0.9990803566772973
PC25,0.0001595762964105067,0.9992399329737078
PC26,0.00014152000330112862,0.999381452977009
PC27,0.00012848342765729888,0.9995099364046662
PC28,0.00012528172917059273,0.9996352181338368
PC29,0.0001053928340727723,0.9997406109679096
PC30,8.452194487555304e-05,0.9998251329127851
PC31,7.303692876278789e-05,0.9998981698415479
PC32,6.144549467041813e-05,0.9999596153362184
