#,Date-Time (PDT),Temperature   (°C),Light   (lux),Host Connected,Button Down,Button Up,End of File
1,05/28/2024 12:22:32,25.95,41.04,,,,
2,05/28/2024 12:23:13,,,Logged,,,
3,05/28/2024 12:23:32,25.65,33.19,,,,
4,05/28/2024 12:23:36,,,,Logged,Logged,
5,05/28/2024 12:23:42,,,,Logged,Logged,
6,05/28/2024 12:24:32,25.61,33.77,,,,
7,05/28/2024 12:25:32,25.39,60.52,,,,
8,05/28/2024 12:26:32,25.14,20.67,,,,
9,05/28/2024 12:27:32,24.97,16.14,,,,
10,05/28/2024 12:28:32,24.75,13.68,,,,
11,05/28/2024 12:29:32,24.49,31.74,,,,
12,05/28/2024 12:30:32,24.28,27.36,,,,
13,05/28/2024 12:31:32,24.11,39.89,,,,
14,05/28/2024 12:32:32,23.94,46.58,,,,
15,05/28/2024 12:33:32,23.72,10.17,,,,
16,05/28/2024 12:34:32,23.64,94.24,,,,
17,05/28/2024 12:35:32,23.55,52.96,,,,
18,05/28/2024 12:36:32,23.55,23.85,,,,
19,05/28/2024 12:37:32,23.51,6735.36,,,,
20,05/28/2024 12:38:32,22.13,5601.28,,,,
21,05/28/2024 12:39:32,20.98,5775.36,,,,
22,05/28/2024 12:40:32,20.12,5806.08,,,,
23,05/28/2024 12:41:32,19.43,5752.32,,,,
24,05/28/2024 12:42:32,18.92,5614.08,,,,
25,05/28/2024 12:43:32,18.40,5442.56,,,,
26,05/28/2024 12:44:32,17.67,1330.56,,,,
27,05/28/2024 12:45:32,17.03,676.48,,,,
28,05/28/2024 12:46:32,16.77,660.16,,,,
29,05/28/2024 12:47:32,16.60,654.40,,,,
30,05/28/2024 12:48:32,16.43,659.52,,,,
31,05/28/2024 12:49:32,16.30,665.28,,,,
32,05/28/2024 12:50:32,16.30,673.92,,,,
33,05/28/2024 12:51:32,16.21,678.72,,,,
34,05/28/2024 12:52:32,16.08,698.88,,,,
35,05/28/2024 12:53:32,16.04,726.72,,,,
36,05/28/2024 12:54:32,16.17,738.88,,,,
37,05/28/2024 12:55:32,16.21,755.84,,,,
38,05/28/2024 12:56:32,16.30,760.32,,,,
39,05/28/2024 12:57:32,16.30,762.24,,,,
40,05/28/2024 12:58:32,16.34,767.36,,,,
41,05/28/2024 12:59:32,16.30,763.84,,,,
42,05/28/2024 13:00:32,16.43,751.04,,,,
43,05/28/2024 13:01:32,16.43,733.76,,,,
44,05/28/2024 13:02:32,16.47,749.44,,,,
45,05/28/2024 13:03:32,16.43,768.96,,,,
46,05/28/2024 13:04:32,16.43,801.92,,,,
47,05/28/2024 13:05:32,16.43,833.92,,,,
48,05/28/2024 13:06:32,16.47,844.80,,,,
49,05/28/2024 13:07:32,16.56,872.64,,,,
50,05/28/2024 13:08:32,16.56,894.72,,,,
51,05/28/2024 13:09:32,16.51,890.24,,,,
52,05/28/2024 13:10:32,16.51,890.56,,,,
53,05/28/2024 13:11:32,16.51,919.04,,,,
54,05/28/2024 13:12:32,16.56,928.96,,,,
55,05/28/2024 13:13:32,16.47,947.52,,,,
56,05/28/2024 13:14:32,16.47,823.36,,,,
57,05/28/2024 13:15:32,16.51,913.92,,,,
58,05/28/2024 13:16:32,16.60,937.60,,,,
59,05/28/2024 13:17:32,16.73,944.64,,,,
60,05/28/2024 13:18:32,16.86,940.48,,,,
